Case 1 - Ha = 0,,,,,,,,,,,,,Case 2 - Ha = 8,,,,,,,,,,,,,Case 3 - Ha = 16,,,,,,,,,,,
y/delta,U+,y/delta,theta (temp),y/delta,u'v',y/delta,u'u',y/delta,v'v',y/delta,w'w',,y/delta,U+,y/delta,theta,y/delta,u'v',y/delta,u'u',y/delta,v'v',y/delta,w'w',,y/delta,U+,y/delta,theta,y/delta,u'v',y/delta,u'u',y/delta,v'v',y/delta,w'w'
0.0447606422783348,6.29357935472836,0.146123260437376,0.269444869246062,0.0532354574054655,-0.296021220159151,0.0200000000000001,1.23684210526316,0.174285714285714,1.06167400881057,0.0253283302063791,1.66850828729282,,0.0691732056188663,8.85999871715379,0.166003976143141,0.247936993424071,0.0667396623691732,-0.270557029177719,0.0238095238095239,1.28070175438597,0.21047619047619,0.81057268722467,0.0290806754221389,1.47513812154696,,0.0409548651942442,6.15973573368113,0.1779324055666,0.218724575623184,0.25413299611375,-0.026525198938992,0.105714285714286,1.17982456140351,0.50952380952381,0.814977973568282,0.134146341463415,1.38121546961326
0.0504051655940647,6.82916764661863,0.162027833001988,0.2910077993577,0.0571936750765941,-0.329973474801061,0.021904761904762,1.35526315789474,0.195238095238095,1.16740088105727,0.027204502814259,1.83425414364641,,0.0824292831027774,9.66327425113853,0.181908548707753,0.267961461997247,0.0726307239939958,-0.302387267904509,0.0276190476190477,1.40789473684211,0.237142857142857,0.903083700440529,0.0347091932457787,1.64640883977901,,0.0541810095999657,7.11926193581493,0.195825049701789,0.238752102768007,0.281244216889766,-0.0180371352785146,0.134285714285714,1.17543859649123,0.564761904761905,0.850220264317181,0.162288930581614,1.40883977900552
0.0541382480596951,7.34247717602788,0.175944333996024,0.309490747820768,0.0611467522052928,-0.361803713527851,0.0238095238095239,1.4780701754386,0.22,1.27753303964758,0.0309568480300189,2.01104972375691,,0.0995082422868872,10.5111073100853,0.197813121272366,0.289524392108885,0.0765735200378344,-0.329973474801061,0.0314285714285715,1.68859649122807,0.267619047619048,1,0.0384615384615386,1.80662983425414,,0.0674926770862286,7.63235765752282,0.219681908548708,0.261865728704695,0.306417453169658,-0.00954907161803709,0.160952380952381,1.1359649122807,0.62,0.881057268722467,0.190431519699812,1.41436464088398
0.0635885484595155,8.01190908896539,0.18986083499006,0.326435234745374,0.0651203915037115,-0.402122015915119,0.0276190476190477,1.59649122807018,0.244761904761905,1.37885462555066,0.0347091932457787,2.16574585635359,,0.118545680015394,11.1356823672789,0.215705765407555,0.309551919253709,0.0844025661587811,-0.361803713527851,0.0295238095238097,1.56140350877193,0.3,1.09251101321586,0.0440900562851784,1.97237569060773,,0.0770285005665904,7.85535909003442,0.231610337972167,0.274191772442269,0.331585548907121,0.0010610079575597,0.187619047619048,1.08333333333333,0.673333333333333,0.907488986784141,0.216697936210131,1.39779005524862
0.0711445126253447,8.56977614333668,0.203777335984095,0.34337972166998,0.0690837497172702,-0.438196286472149,0.0295238095238097,1.71052631578947,0.265714285714286,1.4625550660793,0.0365853658536587,2.30939226519337,,0.137608774668063,11.6263282803447,0.233598409542743,0.32804098486007,0.0941695967758518,-0.393633952254642,0.0352380952380953,1.80701754385965,0.336190476190476,1.18942731277533,0.0497185741088181,2.13259668508287,,0.0884800410510787,8.07831776100575,0.261431411530815,0.29885303563236,0.380035161310221,0.0010610079575597,0.214285714285714,1.02631578947368,0.728571428571428,0.929515418502203,0.24108818011257,1.37569060773481
0.0806076414872464,9.1722434842103,0.221669980119284,0.36033032573788,0.0730471079308289,-0.474270557029178,0.0314285714285715,1.81578947368421,0.294285714285714,1.55947136563877,0.0422138836772984,2.4585635359116,,0.168161895191465,12.1390391481901,0.253479125248509,0.348071570576541,0.105869471346617,-0.423342175066313,0.0352380952380953,1.92543859649123,0.378095238095238,1.29074889867841,0.0572232645403378,2.29834254143646,,0.101860127001775,8.23426909837292,0.283300198807157,0.315809756843554,0.418794851232702,0.0010610079575597,0.242857142857143,0.973684210526316,0.781904761904762,0.94273127753304,0.265478424015009,1.34806629834254
0.0881849864232109,9.61850291847512,0.23558648111332,0.372659428047102,0.0789535911829417,-0.512466843501326,0.0333333333333335,1.94736842105263,0.322857142857143,1.65198237885463,0.0459662288930582,2.61325966850829,,0.210226422355733,12.5622073507088,0.277335984095428,0.368108273436305,0.127254127855571,-0.450928381962865,0.0390476190476192,2.03947368421053,0.418095238095238,1.37444933920705,0.0647279549718575,2.4585635359116,,0.117160206110624,8.36785615017853,0.313121272365805,0.337394096956721,0.465306479139679,0.0010610079575597,0.26952380952381,0.921052631578947,0.837142857142857,0.955947136563877,0.291744840525328,1.31491712707182
0.101496653909474,10.131598640183,0.255467196819086,0.389613090686649,0.0848497933501944,-0.546419098143236,0.0371428571428573,2.06140350877193,0.359047619047619,1.75330396475771,0.051594746716698,2.77348066298343,,0.263793803852815,12.9404759359432,0.303180914512923,0.388148034867717,0.156339316924722,-0.457294429708223,0.0409523809523811,2.14035087719298,0.461904761904762,1.45814977973568,0.0759849906191371,2.62430939226519,,0.132473113681555,8.43447862992025,0.336978131212724,0.35127695366264,0.525383998519524,0.0010610079575597,0.298095238095238,0.87280701754386,0.89047619047619,0.960352422907489,0.318011257035647,1.27624309392265
0.116724038399863,10.6446516003506,0.273359840954274,0.401948310139165,0.0946322455945551,-0.584615384615385,0.0390476190476192,2.18421052631579,0.391428571428571,1.83700440528634,0.0572232645403378,2.95027624309392,,0.317382566120032,13.2071369010712,0.331013916500994,0.406652393332314,0.185393662739292,-0.450928381962865,0.0447619047619049,2.25438596491228,0.501904761904762,1.52863436123348,0.0909943714821765,2.79005524861878,,0.151617455260738,8.50101558658143,0.366799204771372,0.369784370698884,0.573833610922625,0.0010610079575597,0.322857142857143,0.837719298245614,0.943809523809524,0.969162995594714,0.344277673545966,1.23756906077348
0.128141369652135,11.0461824634923,0.29324055666004,0.415825049701789,0.104424978923776,-0.627055702917772,0.0447619047619049,2.33771929824561,0.423809523809524,1.91189427312775,0.0647279549718575,3.12707182320442,,0.359494130978598,13.3847683393556,0.358846918489066,0.422079828719988,0.210546336849464,-0.43395225464191,0.0485714285714287,2.37719298245614,0.543809523809524,1.59471365638767,0.102251407129456,2.87292817679558,,0.174597507002202,8.54514549614077,0.392644135188867,0.382131824437987,0.610655316348981,0.0010610079575597,0.351428571428572,0.802631578947369,0.999047619047619,0.969162995594714,0.372420262664165,1.19337016574586
