Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1098.8299024918742	0.1	0.06592986302698056	15.167633513674504	12.483634021862386	1872.7653575080537	14.901030373136829	27.813730664008943	28.38135782041729	5012.989687919588	0.0	233.75258721231654	62.213175592787664	Liquid
1098.9253271105927	0.1	0.06592860701900159	15.167922472740631	12.486204956754362	1873.15554209638	14.90339567840558	27.813545377622205	28.38116875267572	5013.037439004766	0.0	233.73425383605374	62.21534000468517	Liquid
1099.0207517293106	0.1	0.06592735099797889	15.168211445817937	12.48877587247126	1873.5457240856608	14.905760756157978	27.813360127284366	28.38097972171874	5013.085191950444	0.0	233.71592395780442	62.21750419021101	Liquid
1099.116176348029	0.1	0.06592609496391166	15.168500432907576	12.491346769023428	1873.9359034764059	14.908125606445067	27.813174912995418	28.380790727546344	5013.132946756759	0.0	233.6975975765311	62.21966814936525	Liquid
1099.2116009667473	0.1	0.06592483891679911	15.168789434010705	12.493917646421167	1874.326080269118	14.910490229317839	27.81298973475537	28.380601770158542	5013.180703423851	0.0	233.67927469119786	62.22183188214786	Liquid
1099.3070255854655	0.1	0.06592358285664045	15.169078449128476	12.496488504674803	1874.7162544643024	14.912854624827286	27.81280459256422	28.380412849555327	5013.228461951856	0.0	233.66095530076936	62.22399538855885	Liquid
1099.4024502041837	0.1	0.06592232678343488	15.169367478262046	12.499059343794656	1875.1064260624669	14.915218793024389	27.812619486421966	28.3802239657367	5013.276222340913	0.0	233.64263940421017	62.22615866859822	Liquid
1099.4978748229018	0.1	0.0659210706971816	15.16965652141257	12.501630163791042	1875.4965950641165	14.917582733960113	27.812434416328603	28.380035118702658	5013.323984591158	0.0	233.62432700048527	62.22832172226593	Liquid
1099.5932994416203	0.1	0.06591981459787984	15.169945578581205	12.504200964674293	1875.8867614697572	14.919946447685435	27.812249382284143	28.379846308453207	5013.371748702729	0.0	233.60601808856094	62.23048454956205	Liquid
1099.6887240603382	0.1	0.06591855848552876	15.17023464976911	12.506771746454707	1876.276925279892	14.92230993425127	27.812064384288576	28.379657534988343	5013.419514675766	0.0	233.5877126674018	62.232647150486514	Liquid
